route_id,timestamp,speed_kmh,vehicle_volume,travel_time_min
C->D,2025-04-06 09:10:00,24.3,142,24.7
A->C,2025-04-06 09:10:00,34.3,150,17.5
A->B,2025-04-06 09:11:00,31.4,138,19.1
C->D,2025-04-06 09:12:00,16.9,159,35.5
B->C,2025-04-06 09:13:00,23.6,142,25.4
C->D,2025-04-06 09:14:00,28.2,171,21.3
C->D,2025-04-06 09:15:00,27.4,136,21.9
B->D,2025-04-06 09:16:00,32.9,141,18.3
B->D,2025-04-06 09:16:00,15.8,129,38.0
B->C,2025-04-06 09:16:00,21.3,147,28.1
B->C,2025-04-06 09:16:00,16.0,144,37.5
B->C,2025-04-06 09:17:00,15.6,153,38.4
C->D,2025-04-06 09:18:00,29.5,144,20.3
B->D,2025-04-06 09:19:00,23.4,183,25.7
C->D,2025-04-06 09:19:00,19.5,148,30.8
B->C,2025-04-06 09:20:00,17.6,163,34.1
C->D,2025-04-06 09:20:00,24.3,151,24.7
B->D,2025-04-06 09:20:00,24.4,156,24.6
A->B,2025-04-06 09:20:00,19.6,156,30.7
B->C,2025-04-06 09:21:00,16.8,157,35.7
B->D,2025-04-06 09:21:00,24.5,135,24.4
A->C,2025-04-06 09:23:00,18.9,141,31.8
A->C,2025-04-06 09:24:00,22.1,142,27.2
A->C,2025-04-06 09:26:00,32.4,145,18.5
A->C,2025-04-06 09:26:00,21.5,139,27.9
B->C,2025-04-06 09:26:00,22.8,156,26.4
A->B,2025-04-06 09:26:00,22.6,157,26.5
A->B,2025-04-06 09:27:00,26.2,169,22.9
B->C,2025-04-06 09:27:00,19.1,177,31.3
A->C,2025-04-06 09:28:00,30.2,148,19.9
A->C,2025-04-06 09:28:00,24.7,177,24.3
C->D,2025-04-06 09:28:00,34.3,133,17.5
C->D,2025-04-06 09:29:00,20.7,150,29.0
B->D,2025-04-06 09:29:00,21.5,145,27.9
A->C,2025-04-06 09:30:00,28.6,142,21.0
A->B,2025-04-06 09:30:00,19.9,148,30.1
A->C,2025-04-06 09:30:00,22.9,150,26.2
B->D,2025-04-06 09:31:00,34.0,166,17.7
B->C,2025-04-06 09:31:00,21.2,171,28.3
A->C,2025-04-06 09:31:00,27.3,153,22.0
C->D,2025-04-06 09:32:00,26.7,160,22.4
B->C,2025-04-06 09:35:00,20.9,144,28.7
B->D,2025-04-06 09:35:00,15.8,151,37.9
B->D,2025-04-06 09:35:00,33.6,148,17.9
B->D,2025-04-06 09:35:00,26.9,129,22.3
A->C,2025-04-06 09:35:00,16.1,135,37.3
A->C,2025-04-06 09:36:00,30.8,136,19.5
C->D,2025-04-06 09:36:00,34.8,150,17.3
A->C,2025-04-06 09:36:00,22.6,153,26.5
B->C,2025-04-06 09:36:00,20.0,154,30.0
A->C,2025-04-06 09:37:00,28.7,142,20.9
C->D,2025-04-06 09:37:00,33.9,159,17.7
B->D,2025-04-06 09:38:00,25.9,139,23.2
B->D,2025-04-06 09:38:00,33.1,142,18.1
B->C,2025-04-06 09:38:00,16.0,160,37.5
A->C,2025-04-06 09:39:00,31.3,163,19.1
A->B,2025-04-06 09:40:00,21.6,163,27.8
B->D,2025-04-06 09:40:00,20.2,168,29.7
A->C,2025-04-06 09:41:00,28.3,157,21.2
A->C,2025-04-06 09:42:00,18.1,138,33.1
B->D,2025-04-06 09:42:00,27.4,150,21.9
A->C,2025-04-06 09:43:00,30.2,132,19.9
B->C,2025-04-06 09:44:00,32.3,160,18.6
A->B,2025-04-06 09:44:00,22.7,142,26.4
A->B,2025-04-06 09:44:00,30.7,162,19.5
C->D,2025-04-06 09:44:00,21.3,163,28.2
B->D,2025-04-06 09:44:00,24.3,132,24.7
C->D,2025-04-06 09:44:00,24.8,133,24.2
A->C,2025-04-06 09:45:00,30.3,136,19.8
B->C,2025-04-06 09:46:00,15.2,138,39.6
A->B,2025-04-06 09:48:00,17.1,147,35.1
C->D,2025-04-06 09:48:00,31.1,162,19.3
B->C,2025-04-06 09:48:00,23.3,136,25.7
C->D,2025-04-06 09:48:00,27.2,145,22.1
A->B,2025-04-06 09:48:00,22.8,169,26.3
C->D,2025-04-06 09:50:00,25.5,147,23.6
A->C,2025-04-06 09:50:00,29.0,118,20.7
A->C,2025-04-06 09:50:00,17.2,159,34.9
B->D,2025-04-06 09:51:00,19.4,148,30.9
A->B,2025-04-06 09:52:00,26.4,121,22.7
B->C,2025-04-06 09:52:00,16.1,156,37.3
A->C,2025-04-06 09:52:00,22.9,151,26.2
B->D,2025-04-06 09:52:00,20.5,171,29.3
B->D,2025-04-06 09:53:00,16.3,147,36.7
A->C,2025-04-06 09:53:00,33.6,135,17.8
B->D,2025-04-06 09:54:00,22.9,127,26.2
C->D,2025-04-06 09:54:00,30.9,168,19.4
C->D,2025-04-06 09:54:00,15.3,142,39.1
B->C,2025-04-06 09:54:00,32.1,177,18.7
B->C,2025-04-06 09:55:00,23.9,154,25.1
B->C,2025-04-06 09:55:00,27.9,139,21.5
A->B,2025-04-06 09:55:00,29.1,163,20.6
A->B,2025-04-06 09:55:00,21.5,157,28.0
B->C,2025-04-06 09:56:00,31.2,135,19.2
C->D,2025-04-06 09:57:00,31.5,133,19.1
C->D,2025-04-06 09:57:00,28.1,168,21.4
B->D,2025-04-06 09:58:00,25.9,144,23.2
C->D,2025-04-06 09:59:00,16.5,151,36.5
B->D,2025-04-06 09:59:00,23.1,181,26.0
A->C,2025-04-06 09:59:00,15.8,154,38.0
A->C,2025-04-06 09:59:00,18.1,183,33.2
C->D,2025-04-06 09:59:00,18.6,156,32.3
B->D,2025-04-06 10:00:00,54.3,68,11.1
A->C,2025-04-06 10:01:00,32.4,72,18.5
A->B,2025-04-06 10:03:00,55.7,77,10.8
A->B,2025-04-06 10:03:00,51.4,68,11.7
B->C,2025-04-06 10:03:00,34.2,72,17.6
A->C,2025-04-06 10:04:00,51.1,66,11.7
A->C,2025-04-06 10:04:00,31.1,71,19.3
C->D,2025-04-06 10:05:00,36.3,65,16.5
B->D,2025-04-06 10:05:00,42.0,64,14.3
B->C,2025-04-06 10:06:00,47.6,67,12.6
A->B,2025-04-06 10:06:00,43.2,74,13.9
B->D,2025-04-06 10:06:00,30.1,74,19.9
B->C,2025-04-06 10:06:00,56.1,62,10.7
B->C,2025-04-06 10:06:00,31.4,65,19.1
C->D,2025-04-06 10:08:00,53.7,58,11.2
B->D,2025-04-06 10:09:00,48.0,74,12.5
B->C,2025-04-06 10:09:00,35.8,77,16.8
C->D,2025-04-06 10:09:00,51.9,63,11.6
A->B,2025-04-06 10:10:00,57.5,70,10.4
B->D,2025-04-06 10:10:00,48.9,65,12.3
A->C,2025-04-06 10:11:00,35.6,71,16.9
A->B,2025-04-06 10:12:00,57.8,67,10.4
C->D,2025-04-06 10:12:00,44.4,72,13.5
A->B,2025-04-06 10:12:00,36.2,65,16.6
C->D,2025-04-06 10:12:00,43.6,57,13.8
B->D,2025-04-06 10:12:00,58.8,70,10.2
A->B,2025-04-06 10:13:00,52.2,78,11.5
A->B,2025-04-06 10:14:00,36.5,59,16.4
A->C,2025-04-06 10:14:00,56.1,67,10.7
C->D,2025-04-06 10:15:00,36.2,77,16.6
A->B,2025-04-06 10:15:00,31.1,75,19.3
B->D,2025-04-06 10:17:00,31.0,70,19.3
C->D,2025-04-06 10:18:00,48.5,76,12.4
B->C,2025-04-06 10:18:00,50.7,65,11.8
C->D,2025-04-06 10:19:00,45.5,68,13.2
A->B,2025-04-06 10:19:00,58.4,67,10.3
B->D,2025-04-06 10:20:00,51.6,65,11.6
A->B,2025-04-06 10:20:00,57.2,62,10.5
A->C,2025-04-06 10:20:00,38.7,76,15.5
B->D,2025-04-06 10:21:00,45.7,89,13.1
B->D,2025-04-06 10:21:00,41.0,69,14.6
A->C,2025-04-06 10:21:00,31.5,74,19.0
B->C,2025-04-06 10:22:00,57.3,67,10.5
A->B,2025-04-06 10:22:00,36.8,75,16.3
B->C,2025-04-06 10:22:00,40.5,60,14.8
B->C,2025-04-06 10:24:00,47.4,67,12.7
B->C,2025-04-06 10:24:00,58.2,71,10.3
A->C,2025-04-06 10:24:00,48.7,69,12.3
A->C,2025-04-06 10:25:00,32.4,72,18.5
A->C,2025-04-06 10:25:00,53.8,79,11.2
B->C,2025-04-06 10:25:00,35.2,74,17.0
C->D,2025-04-06 10:25:00,43.7,81,13.7
A->B,2025-04-06 10:26:00,53.2,57,11.3
A->C,2025-04-06 10:27:00,46.6,70,12.9
C->D,2025-04-06 10:27:00,38.8,60,15.5
B->C,2025-04-06 10:28:00,53.0,64,11.3
A->C,2025-04-06 10:28:00,46.3,66,13.0
B->D,2025-04-06 10:29:00,33.1,62,18.1
A->C,2025-04-06 10:29:00,38.2,79,15.7
B->C,2025-04-06 10:31:00,56.7,53,10.6
A->C,2025-04-06 10:31:00,43.2,65,13.9
B->C,2025-04-06 10:34:00,31.4,64,19.1
A->C,2025-04-06 10:34:00,40.9,88,14.7
A->C,2025-04-06 10:34:00,34.5,70,17.4
C->D,2025-04-06 10:34:00,58.5,66,10.3
B->C,2025-04-06 10:35:00,51.6,69,11.6
C->D,2025-04-06 10:35:00,32.0,80,18.8
A->B,2025-04-06 10:35:00,44.9,60,13.4
A->C,2025-04-06 10:35:00,34.5,57,17.4
B->C,2025-04-06 10:35:00,34.9,65,17.2
A->C,2025-04-06 10:36:00,56.6,74,10.6
C->D,2025-04-06 10:37:00,30.5,73,19.7
A->C,2025-04-06 10:37:00,39.7,76,15.1
B->D,2025-04-06 10:37:00,36.1,73,16.6
A->C,2025-04-06 10:39:00,38.9,63,15.4
B->D,2025-04-06 10:39:00,53.0,62,11.3
A->B,2025-04-06 10:40:00,58.1,78,10.3
B->C,2025-04-06 10:41:00,56.1,69,10.7
B->D,2025-04-06 10:42:00,50.4,58,11.9
B->D,2025-04-06 10:43:00,57.4,56,10.4
A->B,2025-04-06 10:44:00,40.1,71,15.0
A->B,2025-04-06 10:44:00,41.1,65,14.6
A->C,2025-04-06 10:44:00,41.1,72,14.6
A->B,2025-04-06 10:44:00,58.3,76,10.3
A->C,2025-04-06 10:44:00,47.4,74,12.6
A->C,2025-04-06 10:45:00,48.8,69,12.3
C->D,2025-04-06 10:45:00,30.3,65,19.8
A->B,2025-04-06 10:45:00,47.8,64,12.5
C->D,2025-04-06 10:45:00,58.5,74,10.3
B->C,2025-04-06 10:47:00,33.9,72,17.7
B->C,2025-04-06 10:49:00,58.3,85,10.3
A->B,2025-04-06 10:49:00,51.9,65,11.6
B->C,2025-04-06 10:50:00,45.8,69,13.1
B->D,2025-04-06 10:50:00,44.4,73,13.5
C->D,2025-04-06 10:51:00,41.5,62,14.4
A->B,2025-04-06 10:51:00,36.1,84,16.6
B->D,2025-04-06 10:52:00,31.4,58,19.1
B->D,2025-04-06 10:52:00,52.3,60,11.5
B->C,2025-04-06 10:52:00,36.1,64,16.6
A->C,2025-04-06 10:53:00,46.5,65,12.9
C->D,2025-04-06 10:56:00,43.6,71,13.8
A->C,2025-04-06 10:56:00,52.0,65,11.5
A->C,2025-04-06 10:56:00,35.9,65,16.7
B->D,2025-04-06 10:56:00,36.7,64,16.4
B->D,2025-04-06 10:58:00,39.2,78,15.3
A->C,2025-04-06 10:58:00,32.0,67,18.7
B->C,2025-04-06 10:58:00,47.6,60,12.6
B->D,2025-04-06 10:59:00,49.2,74,12.2
C->D,2025-04-06 11:00:00,49.6,64,12.1
B->D,2025-04-06 11:00:00,46.6,72,12.9
A->C,2025-04-06 11:00:00,45.3,70,13.2
A->B,2025-04-06 11:01:00,48.9,63,12.3
A->B,2025-04-06 11:02:00,58.1,65,10.3
B->C,2025-04-06 11:02:00,33.6,58,17.9
A->C,2025-04-06 11:02:00,38.5,68,15.6
A->B,2025-04-06 11:02:00,53.2,69,11.3
B->D,2025-04-06 11:03:00,51.7,77,11.6
A->C,2025-04-06 11:03:00,57.9,74,10.4
C->D,2025-04-06 11:05:00,32.4,70,18.5
B->C,2025-04-06 11:05:00,48.5,72,12.4
B->C,2025-04-06 11:06:00,39.0,86,15.4
A->B,2025-04-06 11:06:00,40.1,76,15.0
B->C,2025-04-06 11:07:00,42.3,67,14.2
A->C,2025-04-06 11:08:00,48.6,69,12.3
A->B,2025-04-06 11:09:00,59.5,75,10.1
A->C,2025-04-06 11:09:00,47.8,73,12.5
B->C,2025-04-06 11:10:00,50.4,71,11.9
A->B,2025-04-06 11:10:00,50.2,74,12.0
B->D,2025-04-06 11:11:00,33.9,76,17.7
C->D,2025-04-06 11:11:00,42.0,60,14.3
C->D,2025-04-06 11:11:00,47.5,52,12.6
B->C,2025-04-06 11:12:00,43.6,74,13.8
A->C,2025-04-06 11:12:00,40.0,76,15.0
B->D,2025-04-06 11:12:00,57.6,74,10.4
C->D,2025-04-06 11:12:00,44.0,58,13.6
B->C,2025-04-06 11:13:00,53.3,81,11.2
A->C,2025-04-06 11:13:00,53.4,77,11.2
A->B,2025-04-06 11:13:00,32.8,75,18.3
B->C,2025-04-06 11:14:00,53.9,76,11.1
B->D,2025-04-06 11:15:00,38.6,60,15.5
C->D,2025-04-06 11:15:00,39.2,77,15.3
B->C,2025-04-06 11:16:00,52.4,71,11.5
B->D,2025-04-06 11:16:00,47.1,62,12.7
B->C,2025-04-06 11:16:00,35.3,68,17.0
A->B,2025-04-06 11:16:00,51.0,58,11.8
A->B,2025-04-06 11:16:00,59.6,77,10.1
A->B,2025-04-06 11:17:00,31.6,69,19.0
B->D,2025-04-06 11:17:00,56.6,69,10.6
A->C,2025-04-06 11:18:00,38.2,63,15.7
C->D,2025-04-06 11:20:00,34.4,79,17.5
A->C,2025-04-06 11:22:00,30.2,77,19.9
A->B,2025-04-06 11:22:00,56.4,72,10.6
A->B,2025-04-06 11:24:00,41.5,76,14.5
A->C,2025-04-06 11:24:00,58.7,65,10.2
A->B,2025-04-06 11:24:00,30.7,93,19.6
B->C,2025-04-06 11:24:00,50.8,67,11.8
A->B,2025-04-06 11:25:00,58.5,74,10.3
C->D,2025-04-06 11:26:00,38.3,71,15.7
B->C,2025-04-06 11:27:00,38.1,59,15.7
A->B,2025-04-06 11:27:00,46.9,65,12.8
C->D,2025-04-06 11:29:00,46.8,60,12.8
B->D,2025-04-06 11:30:00,48.8,74,12.3
C->D,2025-04-06 11:30:00,50.3,65,11.9
A->C,2025-04-06 11:30:00,36.7,70,16.4
A->C,2025-04-06 11:30:00,58.9,65,10.2
A->B,2025-04-06 11:30:00,57.7,73,10.4
A->B,2025-04-06 11:31:00,46.9,68,12.8
A->C,2025-04-06 11:31:00,54.8,86,11.0
C->D,2025-04-06 11:31:00,52.1,72,11.5
A->C,2025-04-06 11:32:00,33.8,68,17.8
A->C,2025-04-06 11:33:00,54.6,73,11.0
A->C,2025-04-06 11:34:00,46.4,72,12.9
B->C,2025-04-06 11:34:00,57.3,60,10.5
A->B,2025-04-06 11:34:00,55.0,81,10.9
B->D,2025-04-06 11:34:00,36.6,65,16.4
A->B,2025-04-06 11:35:00,50.2,75,12.0
A->C,2025-04-06 11:35:00,45.5,64,13.2
C->D,2025-04-06 11:35:00,48.3,72,12.4
A->B,2025-04-06 11:36:00,57.5,77,10.4
A->C,2025-04-06 11:37:00,57.0,77,10.5
B->C,2025-04-06 11:37:00,38.1,65,15.7
C->D,2025-04-06 11:37:00,51.0,79,11.8
C->D,2025-04-06 11:38:00,36.3,79,16.5
B->D,2025-04-06 11:39:00,35.3,75,17.0
A->B,2025-04-06 11:40:00,51.3,68,11.7
A->B,2025-04-06 11:40:00,40.5,77,14.8
A->B,2025-04-06 11:40:00,41.0,72,14.6
C->D,2025-04-06 11:40:00,31.0,67,19.4
A->C,2025-04-06 11:41:00,57.2,64,10.5
B->D,2025-04-06 11:41:00,42.6,65,14.1
B->C,2025-04-06 11:41:00,46.8,62,12.8
C->D,2025-04-06 11:41:00,43.9,67,13.7
B->C,2025-04-06 11:42:00,33.8,59,17.7
B->D,2025-04-06 11:43:00,50.3,77,11.9
B->C,2025-04-06 11:43:00,56.2,65,10.7
C->D,2025-04-06 11:44:00,54.1,63,11.1
A->C,2025-04-06 11:45:00,33.4,69,17.9
C->D,2025-04-06 11:45:00,47.1,73,12.7
A->C,2025-04-06 11:45:00,44.7,67,13.4
B->C,2025-04-06 11:46:00,54.1,65,11.1
C->D,2025-04-06 11:46:00,46.9,77,12.8
A->C,2025-04-06 11:47:00,31.8,59,18.9
A->C,2025-04-06 11:47:00,35.0,70,17.1
C->D,2025-04-06 11:47:00,57.3,69,10.5
B->D,2025-04-06 11:48:00,49.4,73,12.1
A->B,2025-04-06 11:49:00,59.1,62,10.2
A->B,2025-04-06 11:49:00,56.6,57,10.6
A->B,2025-04-06 11:50:00,56.1,67,10.7
